FR_error_14 FR_error_18 FR_error_22 FR_error_26 FR_error_30 
0.1372204 0.11686646 0.10617875 0.09827448 0.11322381 
0.094327725 0.065157585 0.052180156 0.04114734 0.03561036 
0.036652833 0.022395901 0.014642533 0.009873585 0.007647556 
0.023223035 0.012715965 0.008219439 0.005690091 0.004381937 
0.012137677 0.0060616955 0.004192616 0.0030399265 0.0022980492 
0.0040727495 0.002616507 0.0016146787 0.0011497803 0.000910276 
0.0006160727 0.00038194572 0.00030630222 0.00026146407 0.00020166651 
0.000028061222 0.000011574075 0.00001807851 0.000012573967 0.0000102777785 
0 0 0 0 0 
0 0 0 0 0 
0 0 0 0 0 

FR_perc_14 FR_perc_18 FR_perc_22 FR_perc_26 FR_perc_30 
0.725 0.6 0.55 0.35 0.45 
2.225 1.9 2.225 2.1 2.45 
9.95 11.725 16.75 20.475 23.2 
19.175 24.45 30.65 35.325 39.6 
34.15 44.6 48.775 54.35 57.525 
63.55 66.2 70.975 74.525 77.15 
92.425 92.375 92.1 92.175 92.725 
99.575 99.7 99.55 99.375 99.5 
100 100 100 100 100 
100 100 100 100 100 
100 100 100 100 100 
