NW_error_14 NW_error_18 NW_error_22 NW_error_26 NW_error_30 
0.10201011 0.08706794 0.07832286 0.07171047 0.0653663 
0.06776526 0.058913633 0.05272513 0.04849313 0.04539954 
0.02478171 0.022179067 0.01975823 0.01773637 0.01753226 
0.013788178 0.011412723 0.010255115 0.009931987 0.009016721 
0.0063788895 0.005243815 0.0044364315 0.0045399326 0.0042766593 
0.0021441467 0.0015432109 0.0015981477 0.0016357247 0.0014436108 
0.0004464284 0.00038271683 0.00038791375 0.0004441564 0.00039638882 
0.000051020397 0.000081018494 0.000071797505 0.000052884596 0.00006972221 
0.0000051020406 0.000009259259 0.0000036157026 0.0000033284025 0.0000058333335 
0.0000012755102 0 0 0 0 
0 0 0 0 0 

NW_perc_14 NW_perc_18 NW_perc_22 NW_perc_26 NW_perc_30 
0.85 0.675 0.8 0.825 1.125 
2.85 2.4 2.5 2.9 2.775 
19.5 18.95 17.025 16.925 17.225 
36.225 34.7 34.8 33.875 33.275 
58.375 58.625 57.25 56.625 55.6 
80.85 80.775 78.575 77.125 77.675 
94.825 94.375 93 92.025 91.55 
99.225 98.525 98.5 98.275 97.9 
99.95 99.825 99.85 99.85 99.75 
99.975 100 100 100 100 
100 100 100 100 100 
